	Genus	Species	Name_Change	Author	Year
250	Acomys	cahirinus	0	Geoffroy	1803
251	Acomys	cahirum	NA	NA	NA
252	Acomys	cahirynus	NA	NA	NA
253	Acomys	chudeaui	0	Kollman	1911
254	Acomys	cilicicus	0	Spitzenberger	1978
255	Acomys	cilicius	NA	NA	NA
256	Acomys	cineraceus	NA	NA	NA
257	Acomys	cochirinus	NA	NA	NA
258	Acomys	complex	NA	NA	NA
259	Acomys	coppensi	1	Sabatier	1982
260	Acomys	d.	NA	NA	NA
261	Acomys	dimidiatus	1	Cretzschmar	1826
262	Acomys	dimitatus	NA	NA	NA
263	Acomys	dimitiatus	NA	NA	NA
264	Acomys	flavidus	0	Thomas	1917
265	Acomys	hawashensis	0	Frick	1914
266	Acomys	hunteri	NA	NA	NA
267	Acomys	hystrella	NA	NA	NA
268	Acomys	ignitus	NA	NA	NA
269	Acomys	intermedius	0	Wettstein	1917
270	Acomys	kempi	NA	NA	NA
271	Acomys	lewisi	0	Atallah	1967
272	Acomys	louisae	0	Thomas	1896
273	Acomys	lowei	0	Setzer	1956
274	Acomys	mabele	0	Denys	1990
275	Acomys	megalotis	1	Licht.	NA
276	Acomys	minous	NA	NA	NA
277	Acomys	mullah	NA	NA	NA
278	Acomys	muzei	0	"Verheyen,_Hulselmans,_Wendelen,_Leirs,_Corti,_Backeljau_&amp;_Verheyen"	2011
279	Acomys	nesiotes	NA	NA	NA
280	Acomys	ngurui	0	"Verheyen,_Hulselmans,_Wendelen,_Leirs,_Corti,_Backeljau_&amp;_Verheyen"	2011
281	Acomys	niloticus	NA	NA	NA
282	Acomys	percivali	NA	NA	NA
283	Acomys	percivalis	NA	NA	NA
284	Acomys	primigenius	NA	NA	NA
285	Acomys	pulchellus	NA	NA	NA
286	Acomys	russatus	1	Wagner	1840
287	Acomys	selousi	NA	NA	NA
288	Acomys	seurati	NA	NA	NA
289	Acomys	sp.	NA	NA	NA
290	Acomys	spinosissimus	NA	NA	NA
291	Acomys	subspinosus	1	Wat.	NA
292	Acomys	transvaalensis	NA	NA	NA
293	Acomys	viator	NA	NA	NA
294	Acomys	whitei	0	Harrison	1980
295	Acomys	wilsoni	0	Thomas	1892
296	Acomys	witherbyi	NA	NA	NA
297	Aconaemys	fuscus	1	Waterhouse	1841
298	Aconaemys	porteri	1	Thomas	1917
299	Aconaemys	sagei	0	Pearson	1984
300	Acotherulum	campichii	1	Pictet	1857
301	Acotherulum	parvus	0	Filhol	1883
302	Acotherulum	pumilum	1	Stehlin	1908
303	Acotherulum	saturninum	0	Gervais	1850
304	Acratocnus	antillensis	1	Matthew	1931
305	Acratocnus	major	0	Anthony	1918
306	Acratocnus	odontrigonus	NA	NA	NA
307	Acratocnus	ye	0	"MacPhee,_White_&amp;_Woods"	2000
308	Acrecebus	fraileyi	0	Kay_&amp;_Cozzul	2006
309	Acremylodon	campbelli	1	Frailey	1986
310	Acritohippus	isonesus	1	Cope	1889
311	Acritohippus	quinni	0	Kelly	1995
312	Acritohippus	stylodontus	1	Merriam	1919
313	Acritohippus	tertius	1	Osborn	1918
314	Acritoparamys	atavus	1	Jepsen	1937
315	Acritoparamys	atwateri	1	Loomis	1907
316	Acritoparamys	francesi	1	Wood	1962
317	Acritoparamys	pattersoni	1	Wood	1962
318	Acritoparamys	wutui	0	Tong_&amp;_Dawson	1995
320	Acritoparamys	wyomingensis	1	Wood	1959
319	Acritophiomys	bowni	0	"Sallam,_Seiffert_&amp;_Simons"	2012
321	Acrobatea	pulchellus	0	Rothschild	1892
322	Acrobates	pulchellus	NA	NA	NA
323	Acrobates	pusillus	NA	NA	NA
324	Acrobates	pygameus	NA	NA	NA
325	Acrobates	pygmaeus	1	Shaw	1794
326	Acrobates	pygmeus	NA	NA	NA
327	Acrobates	spinosus	NA	NA	NA
328	Acrocyon	equianus	0	Mercerat	1891
329	Acrocyon	patagonensis	0	Mercerat	1891
330	Acrocyon	riggsi	1	Sinclair	1930
331	Acrocyon	sectorius	0	Ameghino	1887
332	Acrodelphis	bakersfieldensis	0	Wilson	1935
333	Acrodelphis	krahuletzi	0	Abel	1899
334	Acrodelphis	ombonii	0	Longhi	1898
335	Acrodentis	rosenorum	0	Christiansen_&amp;_Stucky	2013
336	Acrohates	pygmaeus	NA	NA	NA
337	Acrohyaenodon	acutidens	1	Rovereto	1914
338	Acrolophomys	rhodopetros	0	Kelly_&amp;_Whistler	2014
339	Acronotus	lelwel	0	Heuglin	1878
340	Acrophoca	longirostris	0	de_Muizon	1981
341	Acrophyseter	deinodon	0	"Lambert,_Bianucci_&amp;_de_Muizon"	2008
342	Acropithecus	acutidens	NA	NA	NA
343	Acropithecus	araucanus	NA	NA	NA
344	Acropithecus	argentinus	NA	NA	NA
345	Acropithecus	aversus	NA	NA	NA
346	Acropithecus	avunculus	NA	NA	NA
347	Acropithecus	bifidens	NA	NA	NA
348	Acropithecus	bifidus	NA	NA	NA
349	Acropithecus	biforata	NA	NA	NA
350	Acropithecus	bilobatum	NA	NA	NA
351	Acropithecus	burmeisteri	NA	NA	NA
352	Acropithecus	coalescens	NA	NA	NA
353	Acropithecus	complicatissimus	NA	NA	NA
354	Acropithecus	conidens	NA	NA	NA
355	Acropithecus	coryphodontoides	NA	NA	NA
356	Acropithecus	crucialis	NA	NA	NA
357	Acropithecus	desendense	NA	NA	NA
358	Acropithecus	deterioratus	NA	NA	NA
359	Acropithecus	dichotomum	NA	NA	NA
360	Acropithecus	disparile	NA	NA	NA
361	Acropithecus	dolichoarthrus	NA	NA	NA
362	Acropithecus	dorsatus	NA	NA	NA
363	Acropithecus	eguiai	NA	NA	NA
364	Acropithecus	enectum	NA	NA	NA
365	Acropithecus	euryarthrus	NA	NA	NA
366	Acropithecus	fissurellatus	NA	NA	NA
367	Acropithecus	flabellatum	NA	NA	NA
368	Acropithecus	geminatus	NA	NA	NA
369	Acropithecus	germinalis	NA	NA	NA
370	Acropithecus	giganteus	NA	NA	NA
371	Acropithecus	graciloides	NA	NA	NA
372	Acropithecus	gradatus	NA	NA	NA
373	Acropithecus	immersum	NA	NA	NA
374	Acropithecus	indivisus	NA	NA	NA
375	Acropithecus	innexus	NA	NA	NA
376	Acropithecus	inoequifacies	NA	NA	NA
377	Acropithecus	insulata	NA	NA	NA
378	Acropithecus	insulatus	NA	NA	NA
379	Acropithecus	intactus	NA	NA	NA
380	Acropithecus	interassus	NA	NA	NA
381	Acropithecus	isotemnoides	NA	NA	NA
382	Acropithecus	karaikense	NA	NA	NA
383	Acropithecus	limpidus	NA	NA	NA
384	Acropithecus	lobata	NA	NA	NA
385	Acropithecus	lucina	NA	NA	NA
386	Acropithecus	lunulata	NA	NA	NA
387	Acropithecus	macrostomus	NA	NA	NA
388	Acropithecus	megatheroides	NA	NA	NA
389	Acropithecus	metropolitanus	NA	NA	NA
390	Acropithecus	minuscula	NA	NA	NA
391	Acropithecus	mixtus	NA	NA	NA
392	Acropithecus	neglectus	NA	NA	NA
393	Acropithecus	nodosa	NA	NA	NA
394	Acropithecus	notostylopensis	NA	NA	NA
395	Acropithecus	nucleatus	NA	NA	NA
396	Acropithecus	obscurus	NA	NA	NA
397	Acropithecus	oppositus	NA	NA	NA
398	Acropithecus	oxygona	NA	NA	NA
399	Acropithecus	palmeri	NA	NA	NA
400	Acropithecus	pamparum	NA	NA	NA
401	Acropithecus	paranensis	NA	NA	NA
402	Acropithecus	patagonica	NA	NA	NA
403	Acropithecus	patagonicus	NA	NA	NA
404	Acropithecus	paucicuspidatus	NA	NA	NA
405	Acropithecus	perfectum	NA	NA	NA
406	Acropithecus	perplana	NA	NA	NA
407	Acropithecus	politum	NA	NA	NA
408	Acropithecus	precisus	NA	NA	NA
409	Acropithecus	progrediens	NA	NA	NA
410	Acropithecus	promurinus	NA	NA	NA
411	Acropithecus	proplatensis	NA	NA	NA
412	Acropithecus	proximum	NA	NA	NA
413	Acropithecus	pulchrum	NA	NA	NA
414	Acropithecus	pungens	NA	NA	NA
415	Acropithecus	pyriformis	NA	NA	NA
416	Acropithecus	rectum	NA	NA	NA
417	Acropithecus	recurvus	NA	NA	NA
418	Acropithecus	rothi	NA	NA	NA
419	Acropithecus	subconica	NA	NA	NA
420	Acropithecus	tarijensis	NA	NA	NA
421	Acropithecus	tehuelcha	NA	NA	NA
422	Acropithecus	tehuelche	NA	NA	NA
423	Acropithecus	tersus	NA	NA	NA
424	Acropithecus	tetragonoides	NA	NA	NA
425	Acropithecus	thylacoleoides	NA	NA	NA
426	Acropithecus	tournoueri	NA	NA	NA
427	Acropithecus	transitorius	NA	NA	NA
428	Acropithecus	trigonodontoides	NA	NA	NA
429	Acropithecus	trigonostyloides	NA	NA	NA
430	Acropithecus	tripartitus	NA	NA	NA
431	Acropithecus	uniformis	NA	NA	NA
432	Acropithecus	vietum	NA	NA	NA
433	Acrostylops	pungiunculus	0	Ameghino	1901
434	Acrotherium	rusticum	0	Ameghino	1887
435	Acrotitan	ulanshirehensis	0	Ye_Jie	1983
436	Acrotypotherium	tapiai	0	Rusconi	1936
437	Actenomys	primigenia	0	Kaup	1839
438	Actinonyx	jubatus	NA	NA	NA
439	Actiocyon	leardi	0	Stock	1947
440	Actiocyon	parverratis	0	"Smith,_Czaplewski_&amp;_Cifelli"	2016
441	Actocyon	gervaisi	NA	NA	NA
442	Acuhodens	gracilis	0	Weitzel	1949
443	Acuodulodon	sunae	0	"Hu,_Meng_&amp;_Clark"	2007
444	Acyon	hardus	0	Ameghino	1889
445	Acyon	myctoderos	0	"Forasiepi,_Sanchez-Villagra,_Goin,_Takai,_Shigehara_&amp;_Kay"	2006
446	Acyon	tricuspidatus	0	Ameghino	1887
447	Adaetontherium	incognitum	0	Lewis	1934
448	Adapis	angustidens	0	Bouvier	1888
449	Adapis	betillei	1	Delfortrie	1873
450	Adapis	bruni	1	Stehlin	1912
451	Adapis	cuvieri	0	Fischer	1829
452	Adapis	duvernoyi	NA	NA	NA
453	Adapis	laharpi	1	Pictet_&amp;_Humbert	1869
454	Adapis	magnus	0	Filhol	1874
455	Adapis	parisiensia	NA	NA	NA
456	Adapis	parisiensis	0	Cuvier	1824
457	Adapis	priscus	0	Stehlin	1916
458	Adapis	purisiensis	NA	NA	NA
459	Adapis	ruetimeyeri	0	Stehlin	1912
460	Adapis	schlosseri	1	Stehlin	1912
461	Adapis	sciureus	0	Stehlin	1916
462	Adapis	stintoni	0	Gingerich	1977
463	Adapis	sudrei	0	Gingerich	1977
464	Adapis	ulmensis	0	Schmidt-Kittler	1974
465	Adapisorex	abundans	0	Russell	1964
466	Adapisorex	anglicus	0	Cooper	1932
474	Adapisorex	chevillioni	NA	NA	NA
467	Adapisorex	dolloi	0	Chardin	1927
468	Adapisorex	gaudrii	NA	NA	NA
469	Adapisorex	gaudryi	NA	NA	NA
470	Adapisorex	minimus	0	Lemoine	1883
471	Adapisorex	remensis	NA	NA	NA
472	Adapisorex	renensis	NA	NA	NA
473	Adapoides	troglodytes	0	"Beard,_Qi,_Dawson,_Wang_&amp;_Li"	1994
475	Adcrocuta	advena	0	Kretzoi	1955
476	Adcrocuta	australis	0	Hendey	1974
477	Adcrocuta	eximia	1	Roth_&amp;_Wagner	1854
478	Addax	nasomaculata	1	Bl.	NA
479	Addax	nasomaculatus	NA	NA	NA
480	Addax	nasornaculatus	NA	NA	NA
481	Adeloblarina	berklandi	0	Repenning	1967
482	Adelodelphys	muizoni	0	Cifelli	2004
483	Adelomyarion	alberti	0	Daams	1989
484	Adelomyarion	vireti	0	Hugueney	1969
485	Adelomys	cartieri	0	Stehlin_et_Schaub	1951
486	Adelomys	depereti	NA	NA	NA
487	Adelomys	ibericus	0	Thaler	1966
488	Adelomys	palustris	0	Misonne	1957
489	Adelomys	quereyi	NA	NA	NA
490	Adelonycteris	gaumeri	0	Allen	1897
491	Adelopithecus	hypsilophus	0	Gremjatsky	1958
492	Adelpharctos	ginsburgi	0	de_Bonis	2011
493	Adelpharctos	mirus	0	de_Bonis	1971
494	Adelphomys	candidus	0	Ameghino	1887
495	Adelphomys	eximius	0	Ameghino	1894
496	Adelphotherium	ligatum	0	Ameghino	1887
497	Adenota	hob	NA	NA	NA
498	Adenota	kob	1	Erx.	NA
499	Adenota	kobthomasi	NA	NA	NA
500	Adenota	lechee	NA	NA	NA
501	Adenota	mengesi	0	Neumann	1900
502	Adenota	nigroscapulata	NA	NA	NA
503	Adenota	pousarguesi	NA	NA	NA
504	Adenota	recki	0	Schwarz	1932
505	Adenota	thomasi	NA	NA	NA
506	Adenota	vardoni	NA	NA	NA
507	Adianthus	bucatus	0	Ameghino	1891
508	Adianthus	buccatus	0	Ameghino	1891
509	Adianthus	godoyi	0	Cifelli	1991
510	Adianthus	patagonicus	0	Ameghino	1904
511	Adiantoides	leali	0	Simpson_&amp;_Minoprio	1949
512	Adiantoides	magnus	0	Cifelli_&amp;_Soria	1983
513	Adiantus	patagonicus	NA	NA	NA
514	Adiastaltus	habilis	0	Ameghino	1893
515	Adiastemus	compressidens	0	Ameghino	1894
516	Adilophontes	brachykolos	0	Hunt	2002
517	Adinodon	pattersoni	0	Hershkovitz	1995
518	Adinotherium	ferum	0	Ameghino	1887
519	Adinotherium	haplodontoides	0	Ameghino	1891
520	Adinotherium	magister	0	Ameghino	1887
521	Adinotherium	nitidum	0	Ameghino	1887
522	Adinotherium	ovinum	NA	NA	NA
523	Adinotherium	proximum	0	Ameghino	1887
524	Adinotherium	robustum	NA	NA	NA
525	Adinotherium	rotundidens	0	Ameghino	1899
526	Adinotherium	splendidum	0	Ameghino	1887
527	Adjidaumo	craigi	0	Storer	1987
528	Adjidaumo	douglassi	0	Burke	1934
529	Adjidaumo	hansonorum	0	Russell	1972
530	Adjidaumo	intermedius	0	Korth	1989
531	Adjidaumo	lophatus	0	Korth	2012
532	Adjidaumo	maximus	0	Korth	1989
533	Adjidaumo	quartzi	0	Shotwell	1967
534	Adjidaumo	russelli	0	Storer	1970
535	Adjidaumo	stewarti	0	Russell	1972
536	Adjiderebos	cantabilis	0	Dubrovo_&amp;_Burchak-Abramovich	1984
537	Adnonyx	jubatus	NA	NA	NA
538	Adpithecus	plenus	0	Ameghino	1902
539	Adpithecus	plexostephanos	0	Ameghino	1902
540	Adpithecus	reduncus	0	Ameghino	1902
541	Adpithecus	subtenuis	0	Ameghino	1902
542	Adrotherium	depressum	0	Filhol	1884
543	Adroverictis	schmidtkittleri	0	Ginsburg_&amp;_Morales	1996
544	Adurodon	francisi	NA	NA	NA
545	Adurodon	t.	NA	NA	NA
546	Advenimus	bohlini	0	Dawson	1964
